PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,DEST,AIRCRAFT_TYPE,MONTH
2619.00,NK,Spirit Air Lines,LAS,PHL,722,1
2620.00,WN,Southwest Airlines Co.,DAL,ECP,612,1
2621.00,AA,American Airlines Inc.,EYW,PHL,698,1
2621.00,UA,United Air Lines Inc.,DEN,ABQ,694,1
2622.00,WN,Southwest Airlines Co.,ATL,BWI,614,1
2623.00,AA,American Airlines Inc.,PHX,MKE,694,1
2623.00,B6,JetBlue Airways,FLL,PVD,694,1
2624.00,AA,American Airlines Inc.,CLT,CVG,698,1
2626.00,AA,American Airlines Inc.,EWR,ORD,614,1
2626.00,MQ,Envoy Air,CLT,XNA,673,1
2626.00,UA,United Air Lines Inc.,EWR,LAS,838,1
2628.00,DL,Delta Air Lines Inc.,LAX,MSP,888,1
2628.00,F9,Frontier Airlines Inc.,PDX,LAS,722,1
2628.00,NK,Spirit Air Lines,ACY,TPA,694,1
2628.00,OH,PSA Airlines Inc.,AGS,CLT,638,1
2628.00,UA,United Air Lines Inc.,DEN,LAX,614,1
2628.00,YX,Republic Airline,EWR,SAV,677,1
2629.00,AA,American Airlines Inc.,BDL,CLT,614,1
2629.00,OO,SkyWest Airlines Inc.,GJT,PHX,631,1
2629.00,PT,Piedmont Airlines,SYR,PHL,675,1
2629.00,SY,Sun Country Airlines d/b/a MN Airlines,SRQ,MSP,614,1
2630.00,NK,Spirit Air Lines,FLL,RIC,698,1
2631.00,DL,Delta Air Lines Inc.,SLC,SMF,694,1
2631.00,G4,Allegiant Air,USA,FLL,694,1
2632.00,9E,Endeavor Air Inc.,XNA,ATL,638,1
2632.00,DL,Delta Air Lines Inc.,MCO,ATL,623,1
2632.00,OH,PSA Airlines Inc.,ROC,DCA,631,1
2632.00,OO,SkyWest Airlines Inc.,SFO,SBA,673,1
2632.00,WN,Southwest Airlines Co.,CMH,DAL,612,1
2632.00,YX,Republic Airline,LGA,RDU,673,1
2634.00,9E,Endeavor Air Inc.,MSP,FSD,629,1
2634.00,MQ,Envoy Air,ELP,DFW,673,1
2634.00,WN,Southwest Airlines Co.,OMA,HOU,612,1
2635.00,UA,United Air Lines Inc.,EWR,SAN,838,1
2635.00,YX,Republic Airline,BOS,ORD,673,1
2635.00,YX,Republic Airline,ORF,LGA,673,1
2636.00,9E,Endeavor Air Inc.,GTR,ATL,629,1
